danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,song_name,title
0.671,0.42,-4.945,0.0355,0.0286,0.0011,0.112,0.0714,0.8134,0.1416,0,The Two of Us Are Dying,Null
0.801,0.926,-7.582,0.0664,0.0019,0.861,0.0672,0.772,0.5857,0.4737,8,Null,Beatoirt Best New Tech House
0.725,0.583,-6.776,0.224,0.146,0.0086,0.111,0.116,0.7531,0.1708,1,Snitch,Null
0.464,0.853,-6.184,0.185,0.0034,0.92,0.136,0.228,0.708,0.1786,0,Only Now,Null
0.686,0.722,-6.149,0.0585,0.0606,0.32,0.134,0.411,0.7897,0.3867,13,Null,Liquid Drum and Bass Sessions 2020
0.476,0.972,-2.965,0.0409,0.0011,0.466,0.371,0.359,0.681,0.2988,14,Null,Euphoric Hardstyle
0.512,0.963,-4.078,0.0509,0.0001,0.815,0.22,0.153,0.6582,0.4931,11,Null,Psytrance 2020
0.547,0.866,-3.71,0.0544,0.133,0.0001,0.0775,0.574,0.6811,0.3505,14,Null,Hardstyle Remixes of Popular Songs!
0.886,0.628,-5.949,0.131,0.0022,0.0,0.31,0.178,0.5443,0.2624,1,CoCo,Null
0.716,0.936,-4.968,0.123,0.0318,0.0,0.367,0.799,0.74,0.1802,1,Donald Trump,Null
0.932,0.578,-4.478,0.366,0.115,0.0,0.115,0.623,0.5901,0.1218,1,LIGHTSKIN SH*T (feat. Future & jetsonmade),Null
0.545,0.47,-10.116,0.109,0.025,0.0012,0.106,0.351,0.9323,0.1783,0,Bunch of Bones,Null
0.511,0.909,-3.694,0.0494,0.0001,0.009,0.0767,0.138,0.7898,0.2795,13,Null,Drum and Bass 2020
0.767,0.583,-7.908,0.193,0.264,0.0,0.123,0.254,0.649,0.1913,4,Mister (feat. 21 Savage),Null
0.554,0.936,-6.794,0.0517,0.0005,0.793,0.183,0.0389,0.6446,0.535,11,Null,"Psytrance Intensifies (Goa, Psychedelic, Full on)"
0.72,0.657,-8.389,0.601,0.205,0.0,0.146,0.658,0.7366,0.129,1,Brockhampton,Null
0.647,0.956,-11.049,0.0804,0.0954,0.951,0.112,0.0709,0.6355,0.4506,9,Null,Acid Techno
0.668,0.892,-3.001,0.0645,0.298,0.0,0.735,0.478,0.8709,0.1742,6,Good as Hell (feat. Ariana Grande) - Remix,Null
0.395,0.608,-11.372,0.0418,0.0011,0.0003,0.611,0.0768,0.6266,0.1866,10,Null,State if Trance (The best ASOT Epsidoes)
0.537,0.424,-11.281,0.0409,0.0171,0.842,0.355,0.0761,0.8806,0.285,0,Dmt,Null
0.652,0.872,-8.193,0.0603,0.0014,0.869,0.186,0.306,0.6445,0.4983,11,Null,Psytrance: From Full on to Forrest Trance
0.603,0.849,-6.234,0.162,0.0536,0.0001,0.454,0.534,0.5811,0.2494,10,Null,Best of Trance
0.525,0.98,-1.207,0.138,0.0031,0.615,0.444,0.43,0.6814,0.2033,12,Null,HEADBANGERS:Dubstep/Riddim
0.377,0.982,-11.328,0.0666,0.0,0.901,0.262,0.111,0.6262,0.3038,10,Null,State if Trance (The best ASOT Epsidoes)
0.798,0.744,-5.328,0.136,0.33,0.0001,0.292,0.794,0.7477,0.2848,7,It Was A Good Day,Null
0.595,0.757,-9.561,0.0332,0.0162,0.0403,0.144,0.118,0.6352,0.1355,1,Mortuary,Null
0.681,0.849,-3.257,0.0409,0.0265,0.0079,0.307,0.467,0.7266,0.2438,12,Null,"Buygore: Dubstep, Riddim, Trap and More"
0.771,0.591,-8.412,0.172,0.0267,0.0,0.0968,0.499,0.6358,0.1512,2,MOI TAI,Null
0.729,0.662,-8.837,0.0564,0.0187,0.919,0.137,0.411,0.6264,0.5181,11,Null,PsyTrance 2019 By GMR
0.848,0.885,-7.53,0.0586,0.0007,0.793,0.0722,0.835,0.572,0.2525,8,Null,tech house
0.608,0.924,-6.67,0.0419,0.0,0.671,0.142,0.0393,0.6536,0.4546,11,Null,Psytrance Supernova
0.572,0.543,-4.251,0.0287,0.0954,0.0,0.329,0.329,0.7569,0.2972,7,Ghost Town,Null
